start_node_name,start_node_id,end_node_name,end_node_id,relationship_type,label
中国联通,707,东软集团,1909,cooperate,1
中国联通,707,白云机场,2055,cooperate,1
中国联通,707,圆通速递,692,cooperate,1
中国联通,707,招商银行,3568,cooperate,1
中国联通,707,广和通,2038,cooperate,1
中国联通,707,紫光国微,3427,cooperate,1
中国联通,707,奇安信,2360,cooperate,1
中国联通,707,京东方,1784,cooperate,1
中国联通,707,移远通信,910,cooperate,1
中国联通,707,贵州茅台,272,cooperate,1
中国联通,707,江铃汽车,1239,cooperate,1
中国联通,707,航天信息,3163,cooperate,1
中国联通,707,网宿科技,1427,cooperate,1
中国联通,707,人民网,1283,cooperate,1
中国联通,707,大智慧,3396,cooperate,1
中国联通,707,数据港,2098,cooperate,1
中国电信,217,中国联通,707,cooperate,1
中国电信,217,长安汽车,783,cooperate,1
中国电信,217,中国汽研,2393,cooperate,1
中国电信,217,中兴通讯,2082,cooperate,1
中国电信,217,三一重工,3548,cooperate,1
中国电信,217,中国银行,561,cooperate,1
中国电信,217,飞力达,3506,cooperate,1
中国电信,217,华胜天成,1807,cooperate,1
中国电信,217,科华控股,1539,cooperate,1
中国电信,217,科大讯飞,308,cooperate,1
中国电信,217,友阿股份,3436,cooperate,1
中国电信,217,东方航空,2817,cooperate,1
中国电信,217,国盾量子,2066,cooperate,1
中国电信,217,美的集团,2444,cooperate,1
中国电信,217,苏宁易购,2308,cooperate,1
中国电信,217,网宿科技,1427,cooperate,1
中国电信,217,紫光国微,3427,cooperate,1
中国电信,217,东风汽车,3116,cooperate,1
中国电信,217,金科股份,1087,cooperate,1
中国电信,217,四维图新,1752,cooperate,1
中国电信,217,东软集团,1909,cooperate,1
中国电信,217,号百控股,2348,cooperate,1
中国电信,217,高新兴,1257,cooperate,1
中国电信,217,中金公司,3854,cooperate,1
中国电信,217,汇纳科技,548,cooperate,1
中国电信,217,传化智联,3718,cooperate,1
中国电信,217,绿盟科技,3838,cooperate,1
中国电信,217,易联众,1824,cooperate,1
中国电信,217,中国电建,15,cooperate,1
中国电信,217,数码科技,1480,cooperate,1
中国电信,217,辰安科技,1902,cooperate,1
中国电信,217,中国石化,2840,cooperate,1
中国电信,217,紫光股份,2927,cooperate,1
中国电信,217,中科曙光,3772,cooperate,1
中国电信,217,深信服,854,cooperate,1
光大银行,649,光大证券,3030,cooperate,1
光大银行,649,中兴通讯,2082,cooperate,1
紫金矿业,10,龙净环保,626,cooperate,1
紫金矿业,10,盾安环境,49,cooperate,1
千方科技,1178,宁德时代,743,cooperate,1
千方科技,1178,四维图新,1752,cooperate,1
千方科技,1178,易华录,2178,cooperate,1
新天科技,3094,力盛赛车,3494,cooperate,1
新天科技,3094,汉威科技,2594,cooperate,1
南京医药,181,恩华药业,3331,cooperate,1
中国软件,3295,神州数码,2908,cooperate,1
中国软件,3295,比亚迪,1600,cooperate,1
中国软件,3295,中国长城,1749,cooperate,1
中国软件,3295,用友网络,3642,cooperate,1
杰克股份,3378,标准股份,1896,cooperate,1
申万宏源,3330,广发证券,3414,cooperate,1
申万宏源,3330,宏源证券,559,cooperate,1
申万宏源,3330,中国人寿,3498,cooperate,1
申万宏源,3330,华泰证券,746,cooperate,1
申万宏源,3330,游族网络,3470,cooperate,1
北信源,251,深信服,854,cooperate,1
北信源,251,金山办公,1309,cooperate,1
北信源,251,中科曙光,3772,cooperate,1
北信源,251,长城科技,1470,cooperate,1
长城汽车,1220,宁德时代,743,cooperate,1
长城汽车,1220,东软集团,1909,cooperate,1
长城汽车,1220,虹软科技,2911,cooperate,1
上海能源,1715,特变电工,3851,cooperate,1
山东黄金,3010,中国银行,561,cooperate,1
景峰医药,448,中国长城,1749,cooperate,1
景峰医药,448,华安证券,3629,cooperate,1
中信证券,3564,国泰君安,3285,cooperate,1
中信证券,3564,贵州茅台,272,cooperate,1
中信证券,3564,工商银行,1134,cooperate,1
中信证券,3564,艾为电子,1035,cooperate,1
中信证券,3564,中信银行,1400,cooperate,1
中信证券,3564,中信建投,2020,cooperate,1
中信证券,3564,宁德时代,743,cooperate,1
中信证券,3564,财富趋势,2633,cooperate,1
中信证券,3564,中金公司,3854,cooperate,1
中信证券,3564,寒武纪,262,cooperate,1
中信证券,3564,越秀金控,3250,cooperate,1
中信证券,3564,亿纬锂能,3219,cooperate,1
中信证券,3564,德方纳米,2994,cooperate,1
中信证券,3564,华夏银行,3426,cooperate,1
招商证券,630,中国银河,1754,cooperate,1
招商证券,630,贵州茅台,272,cooperate,1
古鳌科技,1601,复旦微电,2106,cooperate,1
柳工,1613,中国电信,217,cooperate,1
多氟多,1175,云天化,2060,cooperate,1
多氟多,1175,比亚迪,1600,cooperate,1
日科化学,1129,亚星化学,3455,cooperate,1
中国铁建,3400,中国银行,561,cooperate,1
中国铁建,3400,深圳机场,416,cooperate,1
中国铁建,3400,东方园林,1084,cooperate,1
中国铁建,3400,铁建重工,22,cooperate,1
中国铁建,3400,交通银行,2665,cooperate,1
中国铁建,3400,中国船舶,2346,cooperate,1
中国铁建,3400,贵州茅台,272,cooperate,1
中国铁建,3400,中国交建,331,cooperate,1
黑芝麻,618,江淮汽车,1607,cooperate,1
中环股份,3052,溢多利,1213,cooperate,1
中环股份,3052,乐山电力,1279,cooperate,1
中环股份,3052,东方财富,2176,cooperate,1
中环股份,3052,天合光能,982,cooperate,1
中环股份,3052,金刚玻璃,1773,cooperate,1
任子行,2519,中国软件,3295,cooperate,1
南京银行,606,南京高科,1481,cooperate,1
中国石化,2840,中国石油,781,cooperate,1
中国石化,2840,福田汽车,1391,cooperate,1
中国石化,2840,中国联通,707,cooperate,1
中国石化,2840,中国电信,217,cooperate,1
中国石化,2840,天合光能,982,cooperate,1
中国石化,2840,智慧能源,3626,cooperate,1
中国石化,2840,隆基股份,2032,cooperate,1
中国石化,2840,石化机械,1737,cooperate,1
中国石化,2840,石化油服,925,cooperate,1
中国石化,2840,中国一重,98,cooperate,1
中国石化,2840,上海电气,3737,cooperate,1
中国石化,2840,建设银行,3014,cooperate,1
中国石化,2840,上海石化,817,cooperate,1
中国石化,2840,中环股份,3052,cooperate,1
中国石化,2840,中国船舶,2346,cooperate,1
金溢科技,1422,华微电子,3486,cooperate,1
东阿阿胶,1756,华润三九,2246,cooperate,1
北京银行,1865,北京文化,481,cooperate,1
北京银行,1865,东华软件,185,cooperate,1
北京银行,1865,蓝色光标,2731,cooperate,1
东方航空,2817,南方航空,1955,cooperate,1
东方航空,2817,吉祥航空,148,cooperate,1
东方航空,2817,中国联通,707,cooperate,1
三聚环保,2007,紫金矿业,10,cooperate,1
三聚环保,2007,中国石油,781,cooperate,1
中国人寿,3498,中国银行,561,cooperate,1
中国人寿,3498,万达信息,568,cooperate,1
中国人寿,3498,中国平安,3348,cooperate,1
中国人寿,3498,建设银行,3014,cooperate,1
中国人寿,3498,交通银行,2665,cooperate,1
中国人寿,3498,民生银行,560,cooperate,1
中国人寿,3498,中国铁建,3400,cooperate,1
中国人寿,3498,东方航空,2817,cooperate,1
兴发集团,96,华友钴业,2524,cooperate,1
兴发集团,96,新亚制程,1320,cooperate,1
兴发集团,96,新亚强,66,cooperate,1
兴发集团,96,六国化工,1669,cooperate,1
京东方,1784,中国联通,707,cooperate,1
京东方,1784,中国平安,3348,cooperate,1
京东方,1784,东方国信,3056,cooperate,1
京东方,1784,农业银行,2914,cooperate,1
京东方,1784,奥来德,109,cooperate,1
京东方,1784,东方园林,1084,cooperate,1
京东方,1784,东方通,1608,cooperate,1
京东方,1784,彩虹股份,2540,cooperate,1
京东方,1784,长安汽车,783,cooperate,1
京东方,1784,航天信息,3163,cooperate,1
京东方,1784,东方集团,291,cooperate,1
京东方,1784,昊华能源,358,cooperate,1
京东方,1784,新宁物流,814,cooperate,1
京东方,1784,建设银行,3014,cooperate,1
京东方,1784,洲明科技,517,cooperate,1
京东方,1784,东软集团,1909,cooperate,1
中国平安,3348,招商蛇口,2450,cooperate,1
中国平安,3348,创新医疗,506,cooperate,1
中国平安,3348,方正证券,616,cooperate,1
国轩高科,315,江淮汽车,1607,cooperate,1
国轩高科,315,华控赛格,196,cooperate,1
国轩高科,315,宁德时代,743,cooperate,1
国轩高科,315,长城汽车,1220,cooperate,1
国轩高科,315,上海电气,3737,cooperate,1
光大证券,3030,同花顺,1081,cooperate,1
光大证券,3030,恒生电子,949,cooperate,1
国星光电,2002,风华高科,2786,cooperate,1
国星光电,2002,TCL集团,930,cooperate,1
国星光电,2002,中国电信,217,cooperate,1
国星光电,2002,光电股份,3083,cooperate,1
中集集团,2341,深圳能源,3725,cooperate,1
中集集团,2341,中国船舶,2346,cooperate,1
中集集团,2341,新希望,2177,cooperate,1
中集集团,2341,国联水产,642,cooperate,1
中集集团,2341,盐田港,1636,cooperate,1
中集集团,2341,徐工机械,2536,cooperate,1
中集集团,2341,上港集团,3416,cooperate,1
恒瑞医药,1789,中国医药,1315,cooperate,1
贵州茅台,272,青岛啤酒,433,cooperate,1
贵州茅台,272,格力地产,3839,cooperate,1
贵州茅台,272,物产中大,3624,cooperate,1
贵州茅台,272,中原证券,2770,cooperate,1
贵州茅台,272,金螳螂,666,cooperate,1
贵州茅台,272,苏宁易购,2308,cooperate,1
贵州茅台,272,泸州老窖,58,cooperate,1
贵州茅台,272,华大基因,12,cooperate,1
贵州茅台,272,中兴通讯,2082,cooperate,1
贵州茅台,272,中国铁建,3400,cooperate,1
潍柴动力,3238,中通客车,724,cooperate,1
潍柴动力,3238,福田汽车,1391,cooperate,1
潍柴动力,3238,中国重汽,3965,cooperate,1
中国核电,2073,同方股份,319,cooperate,1
赛为智能,3158,中国电信,217,cooperate,1
中原特钢,1300,中原特钢,1300,cooperate,1
永辉超市,2402,天神娱乐,657,cooperate,1
永辉超市,2402,国联水产,642,cooperate,1
永辉超市,2402,中百集团,2741,cooperate,1
中国通号,399,白云机场,2055,cooperate,1
宁德时代,743,比亚迪,1600,cooperate,1
宁德时代,743,长安汽车,783,cooperate,1
宁德时代,743,亿纬锂能,3219,cooperate,1
宁德时代,743,中恒电气,2788,cooperate,1
宁德时代,743,邮储银行,2784,cooperate,1
